day,2012,2013,2014,2015,2016,2017,2018,2019,2020
75,0.14729,0.114,0.29267,0.24113,0.1547,0.104,0.235,0.154,0.49562
76,0.16014,0.111,0.1462,0.23665,0.1348,0.103,0.389,0.138,0.24247
77,0.14181,0.106,0.128,0.21492,0.1415,0.097,0.475,0.127,0.59698
78,0.63461,0.105,0.12852,0.19836,0.13425,0.093,0.259,0.124,0.42829
79,1.13923,0.111,0.1313,0.26266,0.13288,0.085,0.233,0.121,0.29598
80,0.29848,0.118,0.13655,0.22337,0.11533,0.088,0.224,0.117,0.24164
81,0.30583,0.128,0.13608,0.25056,0.10271,0.092,0.214,0.115,0.2689
82,0.25361,0.184,0.13652,0.18483,0.11299,0.097,0.201,0.129,0.19373
83,0.22633,0.169,0.1474,0.176,0.21577,0.212,0.209,0.124,0.16469
84,0.20999,0.153,0.13687,0.19425,0.09587,0.147,0.221,0.227,0.14368
85,0.17965,0.147,0.14912,0.19051,0.08226,0.128,0.225,0.104,0.13476
86,0.1604,0.134,0.16878,0.18188,0.07326,0.132,0.938,0.086,0.12639
87,0.1563,0.129,0.17337,0.19302,0.06294,0.134,0.982,0.082,0.19114
88,0.14713,0.12,0.16393,0.19309,0.0557,0.353,0.428,0.072,0.11647
89,0.14406,0.439,0.14373,0.18996,0.09661,0.192,0.369,0.07,0.183
90,0.1434,0.226,0.14714,0.19316,0.06982,0.168,0.354,0.06,0.15862
91,0.13479,0.197,0.14227,0.21221,0.06523,0.173,0.325,0.05,0.12391
92,0.12528,0.173,0.15594,0.22367,0.06383,0.761,0.298,0.055,0.12843
93,0.38575,0.389,0.15068,0.21439,0.05852,0.31,0.38,0.062,0.16646
94,0.23895,0.377,0.24159,0.21067,0.05959,0.21,0.244,0.066,0.1954
95,0.15275,0.238,0.15568,0.64041,0.0558,0.192,0.201,0.069,0.12575
96,0.13622,0.221,0.36209,0.325,0.06698,0.177,0.186,0.216,0.10878
97,0.14371,0.21,0.259,0.286,0.06543,0.16,0.194,0.132,0.09273
98,0.34284,0.185,0.18359,0.27833,0.06768,0.159,0.142,0.153,0.0862
99,0.23974,0.16,0.16618,0.26696,0.07625,0.145,0.121,0.099,0.08995
100,0.16074,0.3,0.1563,0.24128,0.08079,0.33,0.114,0.093,0.08687
101,0.14974,0.2,0.14977,0.24083,0.17631,0.363,0.108,0.091,0.0899
102,0.14205,0.168,0.13962,0.24272,0.18413,0.161,0.098,0.092,0.22791
103,0.14153,0.148,0.25188,1.00824,0.12491,0.146,0.091,0.519,0.11729
104,0.13891,0.125,0.16657,0.41607,0.12859,0.143,0.089,0.283,0.0974
105,0.19013,0.111,0.1331,0.36211,0.1234,0.128,0.073,0.187,0.09965
106,0.16613,0.097,0.12141,0.35827,0.12425,0.115,0.062,0.159,0.09609
107,0.13287,0.09,0.11204,0.64035,0.6642,0.261,0.068,0.143,0.08772
108,0.11884,0.323,0.116,1.29803,0.68037,0.206,0.075,0.454,0.08518
109,0.10845,0.118,0.10695,1.0365,0.2246,0.126,0.073,0.183,0.1261
110,0.11157,0.088,0.15513,0.53408,0.75803,0.118,0.072,0.134,0.0866
111,0.12264,0.079,0.23174,0.585,0.32447,0.124,0.099,0.12,0.08513
112,0.10581,0.068,0.11431,0.47605,0.23004,0.383,0.119,0.109,0.09639
113,0.10064,0.072,0.09713,0.78781,0.18764,0.149,0.101,0.464,0.1026
114,0.09517,0.074,0.08339,0.91221,0.16573,0.131,0.103,0.787,0.09451
115,0.09703,0.078,0.07395,0.48526,0.14738,0.116,0.147,0.254,0.10101
116,0.09378,0.081,0.06693,0.26504,0.18024,0.217,0.189,0.173,0.10346
117,0.0913,0.089,0.07282,0.34635,0.41572,0.119,0.132,0.135,0.10307
118,0.08575,0.085,0.06096,0.33371,0.16665,0.093,0.118,0.112,0.24108
119,0.08642,0.083,0.0549,0.21618,0.17236,0.094,0.108,0.088,0.41481
120,0.086,0.077,0.03664,0.17766,0.17411,0.097,0.11,0.09,0.14935
121,0.09043,0.075,0.03438,0.14271,0.13914,0.076,0.119,0.105,0.12611
122,0.09281,0.077,0.03402,0.12095,0.24827,0.077,0.115,0.184,0.11575
123,0.08963,0.07,0.03078,0.10156,0.14788,0.084,0.391,0.075,0.09965
124,0.09411,0.071,0.02606,0.0886,0.12455,0.084,0.48,0.077,0.09967
125,0.1093,0.065,0.0216,0.10048,0.11805,0.082,0.224,0.046,0.1934
126,0.114,0.058,0.02741,0.18637,0.11248,0.088,0.164,0.039,0.12583
