day,2012,2013,2014,2015,2016,2017,2018,2019,2020
323,7.1,0.166,0.05837,0.43745,0.11229,0.108,0.203,0.172,0.14848
324,4.39399,0.163,0.08243,0.40062,0.09696,0.097,0.186,0.188,0.1528
325,2.58175,0.18,0.07731,0.38461,0.0858,0.105,0.155,0.194,0.15904
326,1.83936,0.363,0.23196,0.35929,0.09494,0.108,0.148,0.541,0.16743
327,1.13001,0.317,0.19032,0.36874,0.13967,0.113,0.124,0.259,0.16555
328,0.80739,0.217,0.1059,0.368,0.122,0.123,0.106,0.19,0.41193
329,0.59122,0.507,0.10259,0.3607,0.1256,0.13,0.091,0.176,0.58158
330,0.42399,0.253,0.10344,1.36675,0.13055,0.138,0.069,0.168,0.225
331,0.30343,0.196,0.10099,3.95596,0.13801,0.148,0.061,0.184,0.18952
332,0.22605,0.167,0.10334,2.65046,0.41023,0.165,0.074,0.456,0.21971
333,0.17067,0.152,0.09602,1.76299,0.2013,0.172,0.096,0.436,0.45924
334,0.12998,0.154,0.09768,1.03476,0.1675,0.197,0.126,0.517,0.20267
335,0.1038,0.121,0.09799,0.75727,0.16971,0.203,0.16,0.287,0.18778
336,0.0759,0.114,0.0918,0.60579,0.16913,0.213,0.133,0.226,0.19381
337,0.0547,0.114,0.10283,0.56522,0.30794,0.229,0.139,0.208,0.18424
338,0.0606,0.115,0.11603,0.48356,0.23697,0.211,0.169,0.201,0.16989
339,0.06569,0.126,0.12556,0.41995,0.206,0.36,0.17,0.187,0.16835
340,0.0753,0.358,0.12741,0.39233,0.22731,0.26,0.195,0.196,0.14816
341,0.08937,0.192,0.13794,0.376,0.20575,0.24,0.428,0.213,0.14751
342,0.10358,0.186,0.13979,0.36789,0.20409,0.239,0.694,0.209,0.13969
343,0.10147,0.188,0.15192,0.40697,0.21078,0.259,0.448,0.193,0.1262
344,0.10073,0.169,0.1598,0.37998,0.22225,0.233,0.292,0.499,0.12717
345,0.10835,0.169,0.15305,0.35703,0.23461,0.27,0.275,0.229,0.16826
346,0.10824,0.165,0.17515,0.35406,0.23654,0.283,0.278,0.197,0.16309
347,0.11164,0.165,0.1747,1.21046,0.25593,0.267,0.776,0.179,0.61499
348,0.20331,0.148,0.34093,0.50406,0.25281,0.279,0.455,0.17,0.34469
349,0.26313,0.115,0.24921,0.43339,0.24602,0.301,0.341,0.159,0.20654
350,0.13269,0.095,0.206,0.40809,0.25915,0.651,0.305,0.153,0.20853
351,0.112,0.094,0.26669,0.38008,0.27434,1.084,0.29,0.15,0.19988
352,0.10484,0.095,0.33892,0.34839,0.27518,0.443,0.275,0.151,0.19467
353,0.14961,0.098,0.22413,0.30999,0.28731,2.485,0.247,0.151,0.18068
354,0.16445,0.11,0.19732,0.3132,0.283,1.03,0.273,0.143,0.16433
355,0.1153,0.475,0.20255,0.282,0.27178,0.502,0.243,0.15,0.15572
356,0.11079,0.184,0.19363,0.2545,0.26216,0.81,0.238,0.146,0.13537
357,0.10528,0.148,0.49044,0.24088,0.25126,0.652,0.228,0.138,0.13284
358,0.10475,0.126,0.24774,0.23832,0.26055,0.387,0.216,0.124,0.12419
359,0.62255,0.124,0.21485,0.23691,0.2523,0.327,0.205,0.115,0.12056
360,0.23067,0.117,0.19742,0.74786,0.2214,0.282,1.179,0.115,0.13197
361,0.17264,0.115,0.30451,1.43453,0.20674,0.263,1.057,0.111,0.13546
362,0.16258,0.109,0.24431,1.17108,0.19839,0.255,0.401,0.392,0.13769
363,0.14357,0.108,0.26297,0.43433,0.17782,0.271,0.311,0.25,0.13926
364,0.11878,0.1,0.26873,0.3651,0.16218,0.244,0.278,0.126,0.33032
365,0.17216,0.089,0.27569,0.31991,0.1559,0.238,0.57,0.108,0.94831
